,sr87_sr86,nd143_nd144
6516,0.706654,0.512361
6517,0.706446,0.51237
6518,0.706599,0.512388
6542,0.704881667,0.512685
6543,0.70603,0.512684
6544,0.70588,0.51258
6545,0.7044,0.512699
6546,0.70326,0.512898
6547,0.70323,0.512917
6548,0.70441,0.512915
6550,0.70514,0.512557
6551,0.70342,0.512907
6552,0.70446,0.512684
6566,0.703955,0.512948
6567,0.703405,0.513024
6568,0.704522,0.512779
6569,0.70334,0.513022
6575,0.70425,0.512786
6578,0.704162,0.512734
6579,0.704156,0.512722
6580,0.704152,0.512743
6582,0.702931,0.513037
6585,0.703273,0.513026
6587,0.703163,0.512832
6594,0.703564,0.512803
6598,0.703859,0.512881
6600,0.703372,0.512965
6605,0.703572,0.5128664
6618,0.70306,0.512905
6619,0.70628,0.512517
6620,0.7036,0.512847
6629,0.703103,0.513
6630,0.703033,0.513007
6631,0.703057,0.512974
6634,0.703593,0.512879
6639,0.70372,0.512747
7357,0.70604,0.512648
7360,0.71094,0.512527
7361,0.70668,0.512639
7415,0.706929,0.512955
7416,0.70482,0.513029
7417,0.704405,0.51296
7418,0.706659,0.513045
7419,0.704587,0.512937
7420,0.705794,0.512887
7421,0.704735,0.512908
7422,0.704128,0.512938
7423,0.7052,0.512844
7424,0.703242,0.512822
7425,0.703745,0.512795
7426,0.703606,0.512826
7427,0.70343,0.512849
7428,0.703301,0.512811
7429,0.703208,0.512827
7430,0.702885,0.51294
7431,0.703489,0.512774
7432,0.702933,0.512904
7467,0.703246,0.512871
7478,0.703089,0.512882
7530,0.70325,0.51284
7544,0.703142,0.512888
7551,0.703371,0.512883
7558,0.703212,0.512897
7569,0.703191,0.512866
7570,0.70329,0.512875
7573,0.703246,0.512848
7575,0.703199,0.512861
7580,0.70315,0.512859
7602,0.70311,0.51284
7607,0.70312,0.51288
7624,0.70331,0.51296
7625,0.70415,0.512899
7626,0.70312,0.51297
7627,0.70373,0.512904
7631,0.70354,0.512895
7633,0.70337,0.512929
7636,0.70351,0.512883
7640,0.70337,0.512892
7641,0.70357,0.512869
7654,0.7036,0.512887
7660,0.70359,0.512877
7662,0.70324,0.512901
7664,0.70377,0.512856
7665,0.70372,0.512847
7667,0.7033,0.512911
7672,0.7033,0.512937
7674,0.70367,0.51285
7675,0.70336,0.51293
7677,0.7035,0.51293
7678,0.70334,0.512905
7679,0.70344,0.512892
7682,0.70363,0.512864
7684,0.70331,0.512943
7723,0.703323,0.512984
7777,0.703317,0.512889
7789,0.703349,0.512934
7791,0.703579,0.512842
7873,0.70281,0.512949
7874,0.703155,0.512795
7875,0.701781,0.513495
7876,0.703009,0.513183
7877,0.70286,0.512898
7878,0.702038,0.513276
7879,0.702524,0.513123
7880,0.702162,0.513057
7881,0.70396,0.512635
7882,0.703394,0.512889
7883,0.702732,0.513206
7884,0.702669,0.513194
7885,0.702094,0.513073
7886,0.702403,0.513186
7887,0.702939,0.512724
7888,0.702681,0.51318
7889,0.702811,0.512912
7890,0.702111,0.513044
7891,0.703351,0.512815
7892,0.703443,0.513788
7893,0.702543,0.512925
7894,0.703028,0.512759
7895,0.702388,0.513187
7898,0.703179,0.512931
7899,0.703196,0.512861
7900,0.703151,0.512878
7901,0.703189,0.512921
7902,0.703103,0.512892
7903,0.703144,0.512891
7904,0.703093,0.512861
7905,0.703169,0.512925
7906,0.703171,0.512921
7907,0.703167,0.512948
7908,0.703127,0.512799
7909,0.702959,0.512843
7910,0.703362,0.512726
7911,0.703009,0.512854
7912,0.703043,0.51285
7913,0.703334,0.512877
7914,0.703054,0.512833
7915,0.702801,0.512876
7916,0.703386,0.512732
7917,0.702987,0.512917
7918,0.703005,0.512841
7919,0.703292,0.512838
7920,0.703721,0.512815
7921,0.703159,0.512787
7922,0.703403,0.512747
7923,0.703277,0.512818
7924,0.703575,0.512764
7934,0.703525,0.512781
7935,0.703066,0.512976
7936,0.703076,0.512978
7937,0.70326,0.512828
7938,0.703249,0.512834
7939,0.70347,0.512881
7940,0.703625,0.512787
7986,0.703164,0.512869
